match_id,innings,team,batsman_id,batsman_position,runs,balls,fours,sixes,strikerate,isout,wickettype,fielders,bowler_id
419122,1,KKR,7568,1,75,60,7,2,125.00,TRUE,lbw,,7678
419122,1,KKR,2024,2,31,34,5,0,91.17,TRUE,bowled,,7139
419122,1,KKR,6377,3,31,23,3,0,134.78,TRUE,bowled,,7678
419122,1,KKR,47023,4,3,3,0,0,100.00,FALSE,not out,{-},
419148,1,KKR,2024,1,33,32,2,2,103.12,TRUE,caught,{1973},10556
419122,1,KKR,17752,5,,,,,,FALSE,DNB,,
419148,1,KKR,7568,2,34,15,6,1,226.66,TRUE,caught,{2281},2232
419122,1,KKR,59601,6,,,,,,FALSE,DNB,,
419148,1,KKR,10384,3,45,36,5,2,125.00,TRUE,caught,{10556},1973
419122,1,KKR,51216,7,,,,,,FALSE,DNB,,
419148,1,KKR,47624,4,0,2,0,0,0.00,TRUE,caught,{12049},2232
419122,1,KKR,7136,8,,,,,,FALSE,DNB,,
419148,1,KKR,47023,5,1,2,0,0,50.00,TRUE,caught,{44930},10556
419122,1,KKR,56442,9,,,,,,FALSE,DNB,,
419148,1,KKR,51216,6,13,15,0,1,86.66,TRUE,caught,{10556},47154
419122,1,KKR,10280,10,,,,,,FALSE,DNB,,
419148,1,KKR,17752,7,16,8,0,2,200.00,TRUE,run out,"{8742,2232}",
419122,1,KKR,49327,11,,,,,,FALSE,DNB,,
419148,1,KKR,7129,8,6,6,0,0,100.00,FALSE,not out,{-},
419122,2,Mumbai,15887,1,23,21,4,0,109.52,TRUE,caught,{2024},7136
419148,1,KKR,48965,9,0,1,0,0,0.00,TRUE,run out,{8742},
419122,2,Mumbai,1934,2,71,48,10,0,147.91,FALSE,not out,{-},
419148,1,KKR,49327,10,0,2,0,0,0.00,TRUE,caught,{8742},10556
548354,1,Royals,2281,1,46,39,8,0,117.94,TRUE,caught,{54010},12601
419122,2,Mumbai,15317,3,30,24,3,1,125.00,TRUE,caught,{2024},49327
419148,1,KKR,50377,11,1,1,0,0,100.00,FALSE,not out,{-},
548354,1,Royals,51096,2,5,6,1,0,83.33,TRUE,caught,{50884},12601
419122,2,Mumbai,49040,4,7,7,1,0,100.00,TRUE,lbw,,49327
419148,2,RCB,7575,1,27,29,3,0,93.10,TRUE,bowled,,48965
548354,1,Royals,10125,3,36,17,4,2,211.76,TRUE,caught,{12601},47185
419122,2,Mumbai,7519,5,21,11,3,0,190.90,FALSE,not out,{-},
419148,2,RCB,2232,2,8,11,0,0,72.72,TRUE,caught,{7568},48965
548354,1,Royals,58116,4,34,27,1,2,125.92,TRUE,caught,{66725},47185
548354,1,Royals,6253,5,36,23,2,2,156.52,TRUE,caught,{10129},12601
419148,2,RCB,2281,3,52,35,5,2,148.57,TRUE,caught,{7129},47023
419148,2,RCB,8742,4,50,22,4,4,227.27,FALSE,not out,{-},
548354,1,Royals,10401,6,14,8,2,0,175.00,FALSE,not out,{-},
419122,2,Mumbai,55296,6,,,,,,FALSE,DNB,,
419148,2,RCB,44930,5,14,6,1,1,233.33,FALSE,not out,{-},
548354,1,Royals,10553,7,0,1,0,0,0.00,TRUE,caught,{10129},12601
419122,2,Mumbai,45257,7,,,,,,FALSE,DNB,,
419122,2,Mumbai,45890,8,,,,,,FALSE,DNB,,
548354,1,Royals,55401,8,,,,,,FALSE,DNB,,
419148,2,RCB,12049,6,,,,,,FALSE,DNB,,
419122,2,Mumbai,7139,9,,,,,,FALSE,DNB,,
548354,1,Royals,8726,9,,,,,,FALSE,DNB,,
419148,2,RCB,49752,7,,,,,,FALSE,DNB,,
419122,2,Mumbai,7678,10,,,,,,FALSE,DNB,,
548354,1,Royals,17780,10,,,,,,FALSE,DNB,,
419148,2,RCB,10556,8,,,,,,FALSE,DNB,,
419122,2,Mumbai,45105,11,,,,,,FALSE,DNB,,
548354,1,Royals,9815,11,,,,,,FALSE,DNB,,
419148,2,RCB,48319,9,,,,,,FALSE,DNB,,
548354,2,Kings XI,10129,1,34,27,5,1,125.92,TRUE,bowled,,10401
419148,2,RCB,1973,10,,,,,,FALSE,DNB,,
419148,2,RCB,47154,11,,,,,,FALSE,DNB,,
548354,2,Kings XI,59601,2,7,6,0,1,116.66,TRUE,caught,{9815},10125
548354,2,Kings XI,50884,3,2,9,0,0,22.22,TRUE,caught,{17780},17780
548354,2,Kings XI,11984,4,8,6,2,0,133.33,TRUE,caught,{6253},9815
548354,2,Kings XI,4173,5,24,24,2,1,100.00,TRUE,bowled,,10553
548354,2,Kings XI,66725,6,23,24,2,0,95.83,TRUE,caught,{10401},10401
548354,2,Kings XI,47308,7,9,8,0,0,112.50,FALSE,not out,{-},
548354,2,Kings XI,47185,8,5,4,1,0,125.00,TRUE,bowled,,10125
548354,2,Kings XI,12601,9,3,5,0,0,60.00,TRUE,caught,{10401},17780
548354,2,Kings XI,48319,10,7,8,1,0,87.50,FALSE,not out,{-},
548354,2,Kings XI,54010,11,,,,,,FALSE,DNB,,
1216518,1,Royals,8742,1,19,13,2,1,146.15,TRUE,run out,{59339},
1216518,1,Royals,53320,2,30,32,2,0,93.75,TRUE,bowled,,79159
1216518,1,Royals,60806,3,36,26,3,1,138.46,TRUE,bowled,,59339
1216518,1,Royals,53271,4,9,12,0,0,75.00,TRUE,caught,{15308},63509
1216518,1,Royals,50281,5,19,15,2,0,126.66,TRUE,caught,{51454},59339
1216518,1,Royals,96392,6,20,12,2,1,166.66,TRUE,caught,{48739},59339
1216518,1,Royals,60628,7,2,3,0,0,66.66,FALSE,not out,{-},
1216518,1,Royals,72379,8,16,7,1,1,228.57,FALSE,not out,{-},
1216518,1,Royals,56596,9,,,,,,FALSE,DNB,,
1216518,1,Royals,69114,10,,,,,,FALSE,DNB,,
1216518,1,Royals,101306,11,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,48739,1,4,4,1,0,100.00,TRUE,caught,{53320},72379
1216518,2,Sunrisers,52161,2,10,7,1,1,142.85,TRUE,bowled,,72379
1216518,2,Sunrisers,51454,3,83,47,4,8,176.59,FALSE,not out,{-},
1216518,2,Sunrisers,63509,4,52,51,6,0,101.96,FALSE,not out,{-},
1216518,2,Sunrisers,95319,5,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,104814,6,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,59339,7,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,79159,8,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,61797,9,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,79597,10,,,,,,FALSE,DNB,,
1216518,2,Sunrisers,15308,11,,,,,,FALSE,DNB,,
548348,1,Chargers,9900,1,0,1,0,0,0.00,TRUE,bowled,,10238
548348,1,Chargers,15887,2,13,18,2,0,72.22,TRUE,bowled,,54282
548348,1,Chargers,12049,3,74,45,4,4,164.44,TRUE,caught,{50281},50121
548348,1,Chargers,9587,4,82,52,10,2,157.69,TRUE,bowled,,7804
548348,1,Chargers,45222,5,4,3,0,0,133.33,FALSE,not out,{-},
548348,1,Chargers,61318,6,2,2,0,0,100.00,FALSE,not out,{-},
548348,1,Chargers,60609,7,,,,,,FALSE,DNB,,
729287,1,Mumbai,6256,1,16,15,2,0,106.66,TRUE,caught,{61325},9505
548348,1,Chargers,59215,8,,,,,,FALSE,DNB,,
729287,1,Mumbai,55296,2,17,18,2,0,94.44,TRUE,caught,{55245},57444
548348,1,Chargers,12562,9,,,,,,FALSE,DNB,,
1216496,1,Royals,102743,1,6,6,1,0,100.00,TRUE,caught,{62022},62022
729287,1,Mumbai,8999,3,35,37,1,0,94.59,TRUE,caught,{46533},53330
548348,1,Chargers,47154,10,,,,,,FALSE,DNB,,
548348,1,Chargers,66142,11,,,,,,FALSE,DNB,,
1216496,1,Royals,50281,2,69,47,4,4,146.80,TRUE,caught,{51482},72103
729287,1,Mumbai,48405,4,2,5,0,0,40.00,TRUE,caught,{46533},61325
733989,1,Sunrisers,15887,1,33,20,7,0,165.00,TRUE,bowled,,10125
548348,2,Warriors,51454,1,0,1,0,0,0.00,TRUE,caught,{9587},60609
1304079,1,Mumbai,48405,1,0,2,0,0,0.00,TRUE,caught,{64864},101414
1216496,1,Royals,60806,3,74,32,1,9,231.25,TRUE,caught,{62022},66941
729287,1,Mumbai,49040,5,3,7,0,0,42.85,TRUE,caught,{47340},61325
733989,1,Sunrisers,35812,2,9,10,1,0,90.00,TRUE,caught,{51096},7520
548348,2,Warriors,8876,2,41,31,7,0,132.25,TRUE,run out,"{12562,9900}",
1304079,1,Mumbai,75325,2,0,1,0,0,0.00,TRUE,bowled,,101414
1216496,1,Royals,53891,4,0,0,0,0,0.00,TRUE,run out,"{95094,51482}",
729287,1,Mumbai,51057,6,18,19,2,0,94.73,TRUE,caught,{49752},53330
733989,1,Sunrisers,60530,3,18,18,2,0,100.00,TRUE,bowled,,7520
548348,2,Warriors,2024,3,45,40,5,1,112.50,TRUE,caught,{12049},15887
1304079,1,Mumbai,95429,3,4,7,0,0,57.14,TRUE,caught,{7593},101414
1216496,1,Royals,8742,5,5,9,0,0,55.55,TRUE,caught,{46933},47185
729287,1,Mumbai,7139,7,8,8,1,0,100.00,TRUE,bowled,,57444
733989,1,Sunrisers,12701,4,17,19,1,0,89.47,TRUE,bowled,,7520
548348,2,Warriors,50281,4,47,27,3,2,174.07,FALSE,not out,{-},
1304079,1,Mumbai,61990,4,32,21,3,1,152.38,TRUE,caught,{101414},64864
1216496,1,Royals,60628,6,10,8,1,0,125.00,TRUE,lbw,,72103
729287,1,Mumbai,7678,8,0,2,0,0,0.00,TRUE,caught,{47340},48965
733989,1,Sunrisers,48739,5,6,7,0,0,85.71,TRUE,stumping,{60806},68573
548348,2,Warriors,8742,5,26,18,1,1,144.44,TRUE,caught,{9707},59215
1304079,1,Mumbai,104396,5,51,43,3,2,118.60,FALSE,not out,{-},
1216496,1,Royals,96392,7,6,4,1,0,150.00,TRUE,caught,{7593},72103
729287,1,Mumbai,45105,9,2,4,0,0,50.00,TRUE,run out,{7716},
733989,1,Sunrisers,47078,6,9,13,1,0,69.23,TRUE,caught,{51096},10125
548348,2,Warriors,7630,6,7,4,0,1,175.00,TRUE,caught,{9587},66142
1304079,1,Mumbai,104752,6,25,25,3,0,100.00,TRUE,caught,{8742},45257
1216496,1,Royals,67312,8,10,9,1,0,111.11,FALSE,not out,{-},
729287,1,Mumbai,48431,10,1,5,0,0,20.00,FALSE,not out,{-},
733989,1,Sunrisers,11399,7,21,21,2,0,100.00,FALSE,not out,{-},
548348,2,Warriors,10238,7,1,1,0,0,100.00,FALSE,not out,{-},
1304079,1,Mumbai,49040,7,14,9,1,1,155.55,TRUE,caught,{74975},101991
1216496,1,Royals,72379,9,27,8,0,4,337.50,FALSE,not out,{-},
729287,1,Mumbai,70640,11,1,1,0,0,100.00,FALSE,not out,{-},
