match_id,innings,team,player_id,wicket,overs,runs
1216518,1,Royals,8742,1,3.30,30
1216518,1,Royals,60806,2,11.40,86
733989,1,Sunrisers,15887,1,3.60,37
1216518,1,Royals,53320,3,12.10,86
733989,1,Sunrisers,35812,2,6.30,55
1216518,1,Royals,53271,4,15.30,110
733989,1,Sunrisers,60530,3,8.60,67
1216518,1,Royals,50281,5,18.10,134
733989,1,Sunrisers,48739,4,11.50,85
1216518,1,Royals,96392,6,18.20,135
733989,1,Sunrisers,12701,5,12.50,89
1216518,2,Sunrisers,48739,1,0.40,4
733989,1,Sunrisers,47078,6,16.10,106
1216518,2,Sunrisers,52161,2,2.40,16
733989,1,Sunrisers,15731,7,16.20,106
733989,1,Sunrisers,47154,8,19.20,125
733989,1,Sunrisers,12562,9,19.40,129
733989,2,Royals,51096,1,0.30,0
733989,2,Royals,59600,2,3.60,27
733989,2,Royals,60806,3,5.50,37
733989,2,Royals,10125,4,6.30,41
733989,2,Royals,10553,5,13.40,78
733989,2,Royals,50281,6,15.40,82
733989,2,Royals,50483,7,17.10,89
733989,2,Royals,7520,8,17.20,89
733989,2,Royals,50709,9,17.60,91
733989,2,Royals,68573,10,19.50,102
734005,1,RCB,7568,1,5.30,33
734005,1,RCB,49752,2,8.10,45
734005,1,RCB,9900,3,12.30,94
734005,1,RCB,46533,4,14.20,107
734005,2,Daredevils,49342,1,0.40,2
734005,2,Daredevils,58406,2,1.60,10
734005,2,Daredevils,59599,3,9.20,73
734005,2,Daredevils,8107,4,11.60,97
734005,2,Daredevils,8813,5,12.60,102
734005,2,Daredevils,45222,6,17.40,147
734005,2,Daredevils,51482,7,19.40,168
419122,1,KKR,2024,1,10.60,70
419122,1,KKR,6377,2,19.20,152
548354,1,Royals,51096,1,1.20,7
419122,1,KKR,7568,3,19.60,155
548354,1,Royals,10125,2,7.50,76
419122,2,Mumbai,15887,1,6.50,61
548354,1,Royals,2281,3,13.20,117
548354,1,Royals,58116,4,15.60,133
419122,2,Mumbai,15317,2,13.60,117
1216496,1,Royals,102743,1,2.20,11
548354,1,Royals,6253,5,19.40,176
419122,2,Mumbai,49040,3,15.50,129
729287,1,Mumbai,6256,1,3.50,20
1216496,1,Royals,60806,2,11.40,132
548354,1,Royals,10553,6,19.60,177
419148,1,KKR,7568,1,5.20,52
729287,1,Mumbai,55296,2,6.50,52
1216496,1,Royals,53891,3,11.60,134
1216496,1,Royals,8742,4,14.10,149
419148,1,KKR,2024,2,11.50,103
729287,1,Mumbai,48405,3,9.10,60
548354,2,Kings XI,59601,1,1.30,8
1216496,1,Royals,60628,5,16.20,167
1216496,1,Royals,96392,6,16.60,173
1216496,1,Royals,50281,7,18.20,178
548354,2,Kings XI,50884,2,5.30,29
419148,1,KKR,47624,3,12.20,103
729287,1,Mumbai,49040,4,11.20,70
1216496,2,Super Kings,10125,1,6.40,56
548354,2,Kings XI,11984,3,7.30,55
1304079,1,Mumbai,48405,1,0.20,0
419148,1,KKR,47023,4,13.10,105
729287,1,Mumbai,8999,5,16.30,101
1216496,2,Super Kings,49342,2,7.30,58
548354,2,Kings XI,10129,4,8.30,59
1304079,1,Mumbai,75325,2,0.50,2
419148,1,KKR,10384,5,16.30,134
729287,1,Mumbai,51057,6,16.40,101
1216496,2,Super Kings,72103,3,8.50,77
548354,2,Kings XI,4173,5,14.50,95
1304079,1,Mumbai,95429,3,2.60,23
419148,1,KKR,51216,6,17.30,137
729287,1,Mumbai,7678,7,17.20,101
1216496,2,Super Kings,95094,4,8.60,77
548354,2,Kings XI,66725,6,16.30,112
1304079,1,Mumbai,61990,4,7.30,47
419148,1,KKR,17752,7,18.60,155
729287,1,Mumbai,7139,8,18.50,110
1216496,2,Super Kings,51482,5,13.40,114
548354,2,Kings XI,47185,7,17.30,120
