season,title,match_id,match_name,series_id,series_name,match_date,match_format,team1_id,team1_name,team1_captain,team1_runs_scored,team1_wickets_fell,team1_extras_rec,team2_id,team2_name,team2_captain,team2_runs_scored,team2_wickets_fell,team2_extras_rec,match_venue_stadium,match_venue_city,match_venue_country,umpire1,umpire2,match_referee,toss_winner,toss_winner_choice,match_winner,match_result_text,mom_player,team1_playing11,team2_playing11,debut_players
2008,1st match,335982,Royal Challengers Bangalore Vs Kolkata Knight Riders 1St Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-18,T20,4341,KKR,2024,222,3,17,4340,RCB,2281,82,10,19,M Chinnaswamy Stadium,Bengaluru,India,Asad Rauf,RE Koertzen,J Srinath,RCB,bowl,KKR,KKR won by 140 runs,10384,"[""2024"",""10384"",""2230"",""11984"",""19647"",""7704"",""51216"",""7129"",""48965"",""7136"",""49327""]","[""2281"",""7130"",""49752"",""2232"",""12049"",""3947"",""7987"",""8244"",""48319"",""7678"",""2292""]","[""48965""]"
2008,2nd match,335983,Kings Xi Punjab Vs Chennai Super Kings 2Nd Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-19,T20,4343,Super Kings,7593,240,5,6,4342,Kings XI,7716,207,4,11,Punjab Cricket Association Stadium,Chandigarh,India,MR Benson,SL Shastri,S Venkataraghavan,Super Kings,bat,Super Kings,Super Kings won by 33 runs,6256,"[""9900"",""2119"",""6256"",""7593"",""15716"",""9989"",""8821"",""45592"",""51453"",""53549"",""2041""]","[""15851"",""9235"",""9587"",""7716"",""6259"",""11399"",""4175"",""5966"",""47185"",""9801"",""12020""]","[""53549""]"
2008,3rd match,335984,Delhi Daredevils Vs Rajasthan Royals 3Rd Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-19,T20,4345,Royals,2000,129,8,7,4344,Daredevils,7781,132,1,10,Feroz Shah Kotla,Delhi,India,Aleem Dar,GA Pratapkumar,GR Viswanath,Royals,bat,Daredevils,Daredevils won by 9 wickets (with 29 balls remaining),11374,"[""54936"",""15473"",""10125"",""7632"",""3329"",""49247"",""47252"",""51109"",""2000"",""9815"",""47100""]","[""7773"",""7781"",""15887"",""47624"",""8813"",""7520"",""7630"",""4380"",""11374"",""12402"",""2101""]","[""51109"",""47100"",""54936""]"
2008,4th match,335986,Kolkata Knight Riders Vs Deccan Chargers 4Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-20,T20,4347,Chargers,3317,110,10,10,4341,KKR,2024,112,5,28,Eden Gardens,Kolkata,India,BF Bowden,K Hariharan,FM Engineer,Chargers,bat,KKR,KKR won by 5 wickets (with 6 balls remaining),11984,"[""4176"",""8163"",""3317"",""4382"",""48405"",""9570"",""7634"",""8040"",""2166"",""47123"",""48431""]","[""51216"",""10384"",""2230"",""2024"",""11984"",""19647"",""7704"",""7129"",""48965"",""7136"",""49327""]","[""3317""]"
2008,5th match,335985,Mumbai Indians Vs Royal Challengers Bangalore 5Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-20,T20,4346,Mumbai,7139,165,6,11,4340,RCB,2281,166,5,5,Wankhede Stadium,Mumbai,India,DJ Harper,SJ Davis,J Srinath,Mumbai,bat,RCB,RCB won by 5 wickets (with 2 balls remaining),3947,"[""17850"",""1988"",""7447"",""8742"",""48349"",""47308"",""2228"",""7139"",""7700"",""7804"",""51098""]","[""2120"",""2281"",""44930"",""2232"",""49752"",""3947"",""7987"",""48319"",""7678"",""2292"",""10556""]","[""7804""]"
2008,6th match,335987,Rajasthan Royals Vs Kings Xi Punjab 6Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-21,T20,4342,Kings XI,7716,166,8,4,4345,Royals,2000,168,4,12,Sawai Mansingh Stadium,Jaipur,India,Aleem Dar,RB Tiffin,S Venkataraghavan,Kings XI,bat,Royals,Royals won by 6 wickets (with 11 balls remaining),10125,"[""15851"",""9235"",""9587"",""6315"",""7716"",""11399"",""49005"",""5966"",""47185"",""9801"",""12020""]","[""7632"",""9257"",""15473"",""10125"",""3329"",""49247"",""48249"",""51109"",""2000"",""9815"",""47100""]",[]
2008,7th match,335988,Deccan Chargers Vs Delhi Daredevils 7Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-22,T20,4347,Chargers,3317,142,8,5,4344,Daredevils,7781,143,1,12,Rajiv Gandhi International Stadium,Hyderabad,India,AM Saheba,IL Howell,Talat Ali,Chargers,bat,Daredevils,Daredevils won by 9 wickets (with 42 balls remaining),7781,"[""4176"",""8163"",""3317"",""4382"",""48405"",""4169"",""8040"",""7634"",""2166"",""47123"",""48431""]","[""7773"",""7781"",""15887"",""8270"",""8813"",""47624"",""7520"",""11374"",""19627"",""48373"",""2101""]",[]
2008,8th match,335989,Chennai Super Kings Vs Mumbai Indians 8Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-23,T20,4343,Super Kings,7593,208,5,18,4346,Mumbai,7139,202,7,13,MA Chidambaram Stadium,Chennai,India,DJ Harper,GA Pratapkumar,FM Engineer,Mumbai,bowl,Super Kings,Super Kings won by 6 runs,2119,"[""9900"",""2119"",""6256"",""15716"",""7593"",""9989"",""8821"",""45592"",""51453"",""53549"",""2041""]","[""17850"",""1988"",""8742"",""2228"",""45257"",""47308"",""7700"",""7139"",""7804"",""52946"",""51098""]","[""52946""]"
2008,9th match,335990,Deccan Chargers Vs Rajasthan Royals 9Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-24,T20,4347,Chargers,3317,214,5,6,4345,Royals,2000,217,7,7,Rajiv Gandhi International Stadium,Hyderabad,India,Asad Rauf,MR Benson,S Venkataraghavan,Royals,bowl,Royals,Royals won by 3 wickets (with 1 ball remaining),15473,"[""4176"",""3317"",""4169"",""4382"",""48405"",""7634"",""8040"",""2166"",""47123"",""48431"",""46688""]","[""9257"",""10406"",""15473"",""10125"",""7632"",""49247"",""2000"",""51109"",""48249"",""9815"",""47100""]",[]
2008,10th match,335991,Kings Xi Punjab Vs Mumbai Indians 10Th Match,313494,Indian Premier League in India - 2008 (2007/08),2008-04-25,T20,4342,Kings XI,7716,182,10,7,4346,Mumbai,7139,116,9,7,Punjab Cricket Association Stadium,Chandigarh,India,Aleem Dar,AM Saheba,FM Engineer,Mumbai,bowl,Kings XI,Kings XI won by 66 runs,9587,"[""15851"",""11399"",""9587"",""7716"",""6405"",""6315"",""49005"",""5966"",""47185"",""12020"",""47184""]","[""17850"",""1988"",""8742"",""45257"",""15317"",""2228"",""47308"",""7139"",""7700"",""51098"",""7804""]",[]
