match_id,innings,for_wicket,team,opposition,player1_id,player2_id,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
733989,1,1,Sunrisers,Royals,15887,35812,33,3,20,4,37,24
733989,1,2,Sunrisers,Royals,35812,60530,6,11,6,9,18,15
733989,1,3,Sunrisers,Royals,12701,60530,5,7,6,9,12,15
729287,1,1,Mumbai,RCB,6256,55296,16,2,15,9,20,24
733989,1,4,Sunrisers,Royals,12701,48739,11,6,10,7,18,17
729287,1,2,Mumbai,RCB,8999,55296,10,15,9,9,32,18
733989,1,5,Sunrisers,Royals,12701,47078,1,3,3,3,4,6
729287,1,3,Mumbai,RCB,8999,48405,6,2,9,5,8,14
733989,1,6,Sunrisers,Royals,11399,47078,8,6,10,10,17,20
729287,1,4,Mumbai,RCB,8999,49040,7,3,6,7,10,13
733989,1,7,Sunrisers,Royals,11399,15731,0,0,0,1,0,1
729287,1,5,Mumbai,RCB,8999,51057,12,18,13,18,31,31
733989,1,8,Sunrisers,Royals,11399,47154,9,9,10,8,19,18
729287,1,6,Mumbai,RCB,7139,51057,0,0,0,1,0,1
733989,1,9,Sunrisers,Royals,11399,12562,0,0,0,1,4,2
729287,1,7,Mumbai,RCB,7139,7678,0,0,2,2,0,4
733989,1,10,Sunrisers,Royals,11399,54282,4,0,1,1,5,2
729287,1,8,Mumbai,RCB,7139,45105,8,1,6,3,9,9
733989,2,1,Royals,Sunrisers,51096,59600,0,0,3,0,0,3
729287,1,9,Mumbai,RCB,45105,48431,1,1,1,4,3,5
733989,2,2,Royals,Sunrisers,59600,60806,12,14,9,12,27,21
729287,1,10,Mumbai,RCB,48431,70640,0,1,1,1,2,2
733989,2,3,Royals,Sunrisers,10125,60806,7,2,7,4,10,11
729287,2,1,RCB,Mumbai,9900,55245,4,12,10,8,16,18
733989,2,4,Royals,Sunrisers,10125,10553,4,0,3,1,4,4
729287,2,2,RCB,Mumbai,9900,49752,1,0,1,2,1,3
733989,2,5,Royals,Sunrisers,10553,50281,12,20,18,25,37,43
729287,2,3,RCB,Mumbai,7716,9900,0,0,2,0,0,2
733989,2,6,Royals,Sunrisers,7520,50281,1,2,4,8,4,12
729287,2,4,RCB,Mumbai,9900,46533,52,45,34,48,99,82
