player_id,player_object_id,player_name,dob,dod,gender,batting_style,bowling_style,country_id,image_url,image_metadata
102743,1151278,Yashasvi Jaiswal,2001-12-28,,M,left-hand bat,legbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/356800/356803.1.png","{""id"": 356803, ""objectId"": 1365015, ""slug"": ""yashasvi-jaiswal-player-portrait"", ""url"": ""/db/PICTURES/CMS/356800/356803.1.png"", ""width"": 160, ""height"": 190, ""caption"": ""Yashasvi Jaiswal player portrait"", ""longCaption"": ""Yashasvi Jaiswal player portrait"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
48405,34102,Rohit Sharma,1987-04-30,,M,right-hand bat,right-arm offbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/302300/302374.jpg","{""id"": 302374, ""objectId"": 1220570, ""slug"": ""rohit-sharma-portrait"", ""url"": ""/db/PICTURES/CMS/302300/302374.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Rohit Sharma portrait"", ""longCaption"": ""Rohit Sharma portrait, April 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
7568,51880,Chris Gayle,1979-09-21,,M,left-hand bat,right-arm offbreak,4,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/309000/309058.png","{""id"": 309058, ""objectId"": 1232572, ""slug"": ""chris-gayle-portrait"", ""url"": ""/db/PICTURES/CMS/309000/309058.png"", ""width"": 160, ""height"": 200, ""caption"": ""Chris Gayle portrait"", ""longCaption"": ""Chris Gayle portrait, September 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
8742,35582,Robin Uthappa,1985-11-11,,M,right-hand bat,right-arm medium,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/309200/309247.jpg","{""id"": 309247, ""objectId"": 1232905, ""slug"": ""robin-uthappa-portrait"", ""url"": ""/db/PICTURES/CMS/309200/309247.jpg"", ""width"": 160, ""height"": 201, ""caption"": ""Robin Uthappa portrait"", ""longCaption"": ""Robin Uthappa portrait, September 2020"", ""credit"": ""BCCI"", ""photographer"": null, ""peerUrls"": null}"
6256,5939,Michael Hussey,1975-05-27,,M,left-hand bat,right-arm medium,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/202500/202597.1.jpg","{""id"": 202597, ""objectId"": 817129, ""slug"": ""michael-hussey-player-pic"", ""url"": ""/db/PICTURES/CMS/202500/202597.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Michael Hussey player pic"", ""longCaption"": ""Michael Hussey player profile pic"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
9900,32242,Parthiv Patel,1985-03-09,,M,left-hand bat,right-arm offbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/304200/304218.png","{""id"": 304218, ""objectId"": 1223383, ""slug"": ""parthiv-patel-portrait"", ""url"": ""/db/PICTURES/CMS/304200/304218.png"", ""width"": 160, ""height"": 201, ""caption"": ""Parthiv Patel portrait"", ""longCaption"": ""Parthiv Patel portrait, May 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
2281,28114,Rahul Dravid,1973-01-11,,M,right-hand bat,right-arm offbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/302300/302350.jpg","{""id"": 302350, ""objectId"": 1220543, ""slug"": ""rahul-dravid-portrait"", ""url"": ""/db/PICTURES/CMS/302300/302350.jpg"", ""width"": 160, ""height"": 199, ""caption"": ""Rahul Dravid portrait"", ""longCaption"": ""Rahul Dravid portrait, April 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
75325,720471,Ishan Kishan,1998-07-18,,M,left-hand bat,,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/329300/329345.4.jpg","{""id"": 329345, ""objectId"": 1285441, ""slug"": ""ishan-kishan-player-portrait"", ""url"": ""/db/PICTURES/CMS/329300/329345.4.jpg"", ""width"": 160, ""height"": 273, ""caption"": ""Ishan Kishan, player portrait"", ""longCaption"": ""Ishan Kishan, player portrait"", ""credit"": ""ICC/Getty Images"", ""photographer"": ""Matthew Lewis"", ""peerUrls"": null}"
50281,267192,Steven Smith,1989-06-02,,M,right-hand bat,legbreak googly,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/309500/309571.1.jpg","{""id"": 309571, ""objectId"": 1233596, ""slug"": ""steven-smith-player-portrait"", ""url"": ""/db/PICTURES/CMS/309500/309571.1.jpg"", ""width"": 160, ""height"": 198, ""caption"": ""Steven Smith player portrait"", ""longCaption"": ""Steven Smith player portrait"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
2024,28779,Sourav Ganguly,1972-07-08,,M,left-hand bat,right-arm medium,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303200/303264.jpg","{""id"": 303264, ""objectId"": 1221773, ""slug"": ""sourav-ganguly-portrait"", ""url"": ""/db/PICTURES/CMS/303200/303264.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Sourav Ganguly portrait"", ""longCaption"": ""Sourav Ganguly portrait, April, 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
53320,311158,Ben Stokes,1991-06-04,,M,left-hand bat,right-arm fast-medium,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/305000/305019.jpg","{""id"": 305019, ""objectId"": 1224532, ""slug"": ""ben-stokes-portrait"", ""url"": ""/db/PICTURES/CMS/305000/305019.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Ben Stokes portrait"", ""longCaption"": ""Ben Stokes, June 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
55296,333904,Aditya Tare,1987-11-07,,M,right-hand bat,,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/308900/308968.png","{""id"": 308968, ""objectId"": 1232416, ""slug"": ""aditya-tare-portrait"", ""url"": ""/db/PICTURES/CMS/308900/308968.png"", ""width"": 160, ""height"": 199, ""caption"": ""Aditya Tare portrait"", ""longCaption"": ""Aditya Tare portrait, September 2020"", ""credit"": ""BCCI"", ""photographer"": null, ""peerUrls"": null}"
15887,28235,Shikhar Dhawan,1985-12-05,,M,left-hand bat,right-arm offbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/302300/302373.jpg","{""id"": 302373, ""objectId"": 1220569, ""slug"": ""shikhar-dhawan-portrait"", ""url"": ""/db/PICTURES/CMS/302300/302373.jpg"", ""width"": 160, ""height"": 199, ""caption"": ""Shikhar Dhawan portrait"", ""longCaption"": ""Shikhar Dhawan portrait, April 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
103589,1159712,Prayas Ray Barman,2002-10-25,,M,right-hand bat,legbreak googly,6,,
67457,554699,Vijay Zol,1994-11-23,,M,left-hand bat,right-arm offbreak,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/179400/179449.1.jpg","{""id"": 179449, ""objectId"": 721217, ""slug"": ""vijay-zol"", ""url"": ""/db/PICTURES/CMS/179400/179449.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Vijay Zol"", ""longCaption"": ""Vijay Zol"", ""credit"": ""International Cricket Council"", ""photographer"": null, ""peerUrls"": null}"
51096,277916,Ajinkya Rahane,1988-06-06,,M,right-hand bat,right-arm medium,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/312100/312159.png","{""id"": 312159, ""objectId"": 1239218, ""slug"": ""ajinkya-rahane-portrait"", ""url"": ""/db/PICTURES/CMS/312100/312159.png"", ""width"": 160, ""height"": 201, ""caption"": ""Ajinkya Rahane portrait"", ""longCaption"": ""Ajinkya Rahane portrait, November 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
10125,8180,Shane Watson,1981-06-17,,M,right-hand bat,right-arm fast-medium,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/202600/202621.1.jpg","{""id"": 202621, ""objectId"": 817165, ""slug"": ""shane-watson-player-pic"", ""url"": ""/db/PICTURES/CMS/202600/202621.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Shane Watson player pic"", ""longCaption"": ""Shane Watson player profile pic"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
58116,371150,Ashok Menaria,1990-10-29,,M,left-hand bat,slow left-arm orthodox,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/315000/315011.jpg","{""id"": 315011, ""objectId"": 1247232, ""slug"": ""ashok-menaria-portrait"", ""url"": ""/db/PICTURES/CMS/315000/315011.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Ashok Menaria portrait"", ""longCaption"": ""Ashok Menaria portrait, January 9, 2021"", ""credit"": ""ESPNcricinfo"", ""photographer"": null, ""peerUrls"": null}"
6253,5674,Brad Hodge,1974-12-29,,M,right-hand bat,right-arm offbreak,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/146100/146172.1.jpg","{""id"": 146172, ""objectId"": 567229, ""slug"": ""brad-hodge"", ""url"": ""/db/PICTURES/CMS/146100/146172.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Brad Hodge"", ""longCaption"": ""Brad Hodge"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
10401,44149,Johan Botha,1982-05-02,,M,right-hand bat,right-arm offbreak,3,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/203100/203145.1.jpg","{""id"": 203145, ""objectId"": 818353, ""slug"": ""johan-botha"", ""url"": ""/db/PICTURES/CMS/203100/203145.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Johan Botha"", ""longCaption"": ""Johan Botha"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
10553,27223,Stuart Binny,1984-06-03,,M,right-hand bat,right-arm medium,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/304200/304260.png","{""id"": 304260, ""objectId"": 1223436, ""slug"": ""stuart-binny-portrait"", ""url"": ""/db/PICTURES/CMS/304200/304260.png"", ""width"": 160, ""height"": 199, ""caption"": ""Stuart Binny portrait"", ""longCaption"": ""Stuart Binny portrait, May 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
55401,337913,Ankeet Chavan,1985-10-28,,M,left-hand bat,slow left-arm orthodox,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/152500/152509.6.jpg","{""id"": 152509, ""objectId"": 596779, ""slug"": ""ankeet-chavan-picked-up-9-for-23"", ""url"": ""/db/PICTURES/CMS/152500/152509.6.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Ankeet Chavan picked up 9 for 23"", ""longCaption"": ""Ankeet Chavan picked up 9 for 23, Mumbai v Punjab, Ranji Trophy, 4th day, December 11, 2012"", ""credit"": ""Fotocorp"", ""photographer"": null, ""peerUrls"": null}"
8726,36071,Dishant Yagnik,1983-06-22,,M,left-hand bat,,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/141200/141248.1.jpg","{""id"": 141248, ""objectId"": 549152, ""slug"": ""dishant-yagnik"", ""url"": ""/db/PICTURES/CMS/141200/141248.1.jpg"", ""width"": 160, ""height"": 192, ""caption"": ""Dishant Yagnik"", ""longCaption"": ""Dishant Yagnik"", ""credit"": ""ESPNcricinfo Ltd"", ""photographer"": null, ""peerUrls"": null}"
17780,8076,Shaun Tait,1983-02-22,,M,right-hand bat,right-arm fast,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/128300/128330.1.jpg","{""id"": 128330, ""objectId"": 501160, ""slug"": ""shaun-tait"", ""url"": ""/db/PICTURES/CMS/128300/128330.1.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Shaun Tait"", ""longCaption"": ""Shaun Tait"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
9815,35353,Siddharth Trivedi,1982-09-04,,M,right-hand bat,right-arm medium,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/304000/304055.jpg","{""id"": 304055, ""objectId"": 1223020, ""slug"": ""siddharth-trivedi-portrait"", ""url"": ""/db/PICTURES/CMS/304000/304055.jpg"", ""width"": 160, ""height"": 200, ""caption"": ""Siddharth Trivedi portrait"", ""longCaption"": ""Siddharth Trivedi portrait, May 2020"", ""credit"": ""Getty Images"", ""photographer"": null, ""peerUrls"": null}"
10129,6683,Shaun Marsh,1983-07-09,,M,left-hand bat,slow left-arm orthodox,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/289900/289953.jpg","{""id"": 289953, ""objectId"": 1186413, ""slug"": ""player-portrait-shaun-marsh"", ""url"": ""/db/PICTURES/CMS/289900/289953.jpg"", ""width"": 160, ""height"": 199, ""caption"": ""Player portrait, Shaun Marsh"", ""longCaption"": ""Player portrait, Shaun Marsh"", ""credit"": ""IDI via Getty Images"", ""photographer"": null, ""peerUrls"": null}"
